length,dots,https,has_ip,has_at,subdomains,suspicious_word,label
35,1,1,0,0,0,1,phishing
25,1,1,0,0,0,1,phishing
22,2,1,0,0,1,0,safe
48,1,0,0,0,0,1,phishing
47,1,0,0,0,0,1,phishing
32,1,0,0,1,0,1,phishing
19,1,1,0,0,0,0,safe
21,1,1,0,0,0,0,safe
40,1,0,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
23,1,0,0,0,0,1,phishing
21,2,1,0,0,1,0,safe
23,2,1,0,0,1,0,safe
25,1,0,0,0,0,1,phishing
25,2,1,0,0,1,1,safe
23,1,0,0,0,0,1,phishing
25,1,0,0,1,0,1,phishing
17,1,1,0,0,0,0,safe
26,1,0,0,0,0,1,phishing
24,2,1,0,0,1,0,safe
25,2,1,0,0,1,0,safe
21,1,1,0,0,0,0,safe
19,3,0,1,0,2,1,phishing
24,2,1,0,0,1,0,safe
12,1,0,0,0,0,0,phishing
21,3,0,1,0,2,1,phishing
17,1,0,0,0,0,1,phishing
19,3,0,1,0,2,1,phishing
22,2,1,0,0,1,0,safe
18,1,0,0,0,0,1,phishing
19,3,0,1,0,2,1,phishing
17,1,0,0,0,0,1,phishing
26,1,0,0,1,0,1,phishing
26,2,1,0,0,1,0,safe
25,2,1,0,0,1,1,safe
21,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
34,1,0,0,0,0,1,phishing
19,1,1,0,0,0,0,safe
19,3,0,1,0,2,1,phishing
19,1,0,0,0,0,1,phishing
22,2,1,0,0,1,0,safe
28,1,1,0,0,0,1,phishing
21,2,1,0,0,1,0,safe
17,1,1,0,0,0,0,safe
24,1,0,0,0,0,1,phishing
26,1,0,0,1,0,1,phishing
22,3,0,1,0,2,1,phishing
20,1,0,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
25,1,1,0,0,0,0,safe
23,2,1,0,0,1,0,safe
22,3,0,1,0,2,1,phishing
16,1,1,0,0,0,0,safe
19,3,0,1,0,2,1,phishing
17,1,1,0,0,0,0,safe
23,2,1,0,0,1,0,safe
31,1,0,0,0,0,1,phishing
19,1,0,0,0,0,1,phishing
17,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
25,2,1,0,0,1,0,safe
24,1,0,0,1,0,1,phishing
27,1,0,0,0,0,1,phishing
32,3,0,1,0,2,1,phishing
19,1,1,0,0,0,0,safe
26,2,1,0,0,1,0,safe
17,1,1,0,0,0,0,safe
46,1,0,0,0,0,1,phishing
25,1,0,0,0,0,1,phishing
30,2,1,0,0,1,0,safe
18,1,0,0,0,0,0,phishing
18,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
32,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
18,1,0,0,0,0,1,phishing
22,1,0,0,0,0,1,phishing
23,2,1,0,0,1,0,safe
23,1,0,0,0,0,1,phishing
18,1,0,0,0,0,0,phishing
18,1,0,0,0,0,0,phishing
30,2,1,0,0,1,0,safe
25,1,0,0,0,0,1,phishing
18,1,0,0,0,0,0,phishing
48,5,0,0,0,4,1,phishing
23,2,1,0,0,1,0,safe
18,1,0,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
21,1,1,0,0,0,0,safe
23,1,0,0,0,0,1,phishing
24,1,0,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
11,1,0,0,0,0,0,phishing
18,1,1,0,0,0,0,safe
21,1,1,0,0,0,0,safe
40,4,0,0,0,3,1,phishing
40,4,0,0,0,3,1,phishing
22,2,1,0,0,1,0,safe
25,1,0,0,0,0,1,phishing
18,1,0,0,0,0,1,phishing
36,1,0,0,0,0,1,phishing
24,1,0,0,0,0,1,phishing
20,3,0,1,0,2,1,phishing
22,2,1,0,0,1,0,safe
23,2,1,0,0,1,0,safe
23,2,1,0,0,1,0,safe
19,1,1,0,0,0,0,safe
21,2,1,0,0,1,0,safe
28,1,0,0,0,0,1,phishing
24,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
20,2,1,0,0,1,0,safe
18,1,0,0,0,0,1,phishing
17,1,0,0,0,0,1,phishing
25,2,1,0,0,1,0,safe
22,2,1,0,0,1,0,safe
24,1,0,0,0,0,1,phishing
42,1,0,0,0,0,1,phishing
21,1,1,0,0,0,0,safe
22,2,1,0,0,1,0,safe
12,1,0,0,0,0,0,phishing
25,1,1,0,0,0,0,safe
25,2,1,0,0,1,0,safe
17,1,0,0,0,0,1,phishing
32,3,0,0,0,2,1,phishing
22,2,1,0,0,1,0,safe
22,2,1,0,0,1,0,safe
44,1,0,0,0,0,1,phishing
41,4,0,0,0,3,1,phishing
19,1,1,0,0,0,0,safe
24,2,1,0,0,1,0,safe
26,1,1,0,0,0,0,phishing
20,1,1,0,0,0,0,safe
19,2,1,0,0,1,0,safe
20,1,0,0,0,0,1,phishing
33,3,0,0,0,2,1,phishing
23,2,1,0,0,1,0,safe
22,1,1,0,0,0,0,safe
29,1,1,0,0,0,1,phishing
21,2,1,0,0,1,0,safe
21,1,1,0,0,0,0,safe
21,1,1,0,0,0,0,safe
27,2,1,0,0,1,0,safe
18,1,0,0,0,0,0,phishing
21,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
17,1,1,0,0,0,0,safe
22,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
17,1,0,0,0,0,1,phishing
12,1,0,0,0,0,0,phishing
23,2,1,0,0,1,1,safe
20,3,0,1,0,2,1,phishing
21,1,1,0,0,0,0,safe
13,1,0,0,0,0,0,phishing
31,1,0,0,0,0,1,phishing
23,2,1,0,0,1,0,safe
28,1,0,0,1,0,1,phishing
18,1,1,0,0,0,0,safe
25,2,1,0,0,1,1,safe
21,2,1,0,0,1,0,safe
17,1,0,0,0,0,1,phishing
21,2,1,0,0,1,0,safe
19,1,0,0,0,0,1,phishing
27,1,0,0,0,0,1,phishing
16,1,0,0,0,0,1,phishing
23,2,1,0,0,1,0,safe
24,2,1,0,0,1,0,safe
19,1,1,0,0,0,0,safe
19,1,1,0,0,0,0,safe
17,1,1,0,0,0,0,safe
27,1,0,0,0,0,1,phishing
28,1,0,0,1,0,1,phishing
28,1,0,0,1,0,1,phishing
19,1,1,0,0,0,0,safe
22,2,1,0,0,1,0,safe
13,1,0,0,0,-1,0,safe
22,2,1,0,0,1,0,safe
17,1,0,0,0,0,1,phishing
38,1,0,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
15,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
21,3,0,1,0,2,1,phishing
22,2,1,0,0,1,0,safe
27,1,0,0,0,0,1,phishing
21,2,1,0,0,1,0,safe
28,1,0,0,0,0,1,phishing
27,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
40,4,0,0,0,3,1,phishing
20,2,1,0,0,1,0,safe
23,1,0,0,0,0,1,phishing
16,1,1,0,0,0,0,safe
16,1,0,0,0,0,1,phishing
36,1,0,0,0,0,1,phishing
20,2,1,0,0,1,0,safe
17,1,0,0,0,0,1,phishing
26,1,0,0,0,0,1,phishing
23,2,1,0,0,1,0,safe
24,1,0,0,0,0,1,phishing
22,1,1,0,0,0,0,safe
25,1,0,0,0,0,1,phishing
19,1,1,0,0,0,0,safe
42,4,0,0,0,3,1,phishing
30,1,0,0,1,0,1,phishing
24,2,1,0,0,1,0,safe
24,2,1,0,0,1,0,safe
20,1,0,0,0,0,1,phishing
27,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
18,3,0,1,0,2,1,phishing
22,1,1,0,0,0,0,safe
19,3,0,1,0,2,1,phishing
21,2,1,0,0,1,0,safe
25,2,1,0,0,1,1,safe
24,1,0,0,0,0,1,phishing
18,1,0,0,0,0,1,phishing
25,2,1,0,0,1,1,safe
41,4,0,0,0,3,1,phishing
18,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
15,1,1,0,0,0,0,safe
21,2,1,0,0,1,0,safe
16,1,0,0,0,0,1,phishing
16,1,1,0,0,0,0,safe
24,1,0,0,0,0,1,phishing
19,2,1,0,0,1,0,safe
17,1,1,0,0,0,0,safe
23,2,1,0,0,1,0,safe
21,2,1,0,0,1,0,safe
25,1,0,0,1,0,1,phishing
22,3,0,1,0,2,1,phishing
18,1,0,0,0,0,0,phishing
24,1,0,0,1,0,1,phishing
17,1,1,0,0,0,0,safe
21,1,1,0,0,0,0,safe
25,2,1,0,0,1,1,safe
23,2,1,0,0,1,0,safe
19,3,0,1,0,2,1,phishing
22,2,1,0,0,1,0,safe
20,2,1,0,0,1,0,safe
21,1,1,0,0,0,0,safe
23,2,1,0,0,1,0,safe
21,2,1,0,0,1,0,safe
24,1,0,0,0,0,1,phishing
16,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
24,1,0,0,0,0,1,phishing
23,2,1,0,0,1,0,safe
20,1,0,0,0,0,1,phishing
30,1,0,0,1,0,1,phishing
28,1,0,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
27,1,0,0,0,0,1,phishing
21,2,1,0,0,1,0,safe
13,1,0,0,0,0,0,phishing
17,1,1,0,0,0,0,safe
47,1,0,0,0,0,1,phishing
21,1,1,0,0,0,0,safe
17,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
19,1,1,0,0,0,0,safe
24,2,1,0,0,1,0,safe
25,1,0,0,0,0,1,phishing
20,2,1,0,0,1,0,safe
29,1,0,0,1,0,1,phishing
25,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
18,1,0,0,0,0,1,phishing
38,4,0,0,0,3,1,phishing
21,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
16,1,1,0,0,0,0,safe
18,1,0,0,0,0,1,phishing
21,2,1,0,0,1,0,safe
25,2,1,0,0,1,0,safe
21,1,1,0,0,0,0,safe
22,1,1,0,0,0,0,safe
29,1,0,0,0,0,1,phishing
51,1,0,0,0,0,1,phishing
21,1,1,0,0,0,0,safe
27,1,0,0,1,0,1,phishing
22,2,1,0,0,1,0,safe
22,1,1,0,0,0,0,safe
21,3,0,1,0,2,1,phishing
13,1,0,0,0,0,0,phishing
17,1,1,0,0,0,0,safe
21,3,0,1,0,2,1,phishing
18,1,1,0,0,0,0,safe
18,1,0,0,0,0,1,phishing
24,2,1,0,0,1,0,safe
34,3,0,0,0,2,1,phishing
17,1,1,0,0,0,0,safe
35,1,0,0,0,0,1,phishing
22,2,1,0,0,1,0,safe
21,2,1,0,0,1,0,safe
17,1,1,0,0,0,0,safe
24,1,0,0,0,0,1,phishing
19,1,0,0,0,0,1,phishing
11,1,0,0,0,0,0,phishing
27,1,0,0,0,0,1,phishing
22,1,0,0,0,0,1,phishing
28,1,0,0,1,0,1,phishing
18,1,1,0,0,0,0,safe
24,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
24,2,1,0,0,1,0,safe
25,1,1,0,0,0,0,safe
22,2,1,0,0,1,0,safe
22,2,1,0,0,1,0,safe
22,2,1,0,0,1,0,safe
26,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
21,3,0,1,0,2,1,phishing
23,1,0,0,0,0,1,phishing
35,1,0,0,0,0,1,phishing
20,3,0,1,0,2,1,phishing
18,1,1,0,0,0,0,safe
19,1,1,0,0,0,0,safe
24,1,0,0,0,0,1,phishing
20,1,1,0,0,0,0,safe
21,2,1,0,0,1,0,safe
17,1,1,0,0,0,0,safe
17,1,1,0,0,0,0,safe
19,1,1,0,0,0,0,safe
21,3,0,1,0,2,1,phishing
12,1,0,0,0,0,0,phishing
23,1,0,0,0,0,1,phishing
27,1,0,0,1,0,1,phishing
17,1,0,0,0,0,1,phishing
30,1,0,0,0,0,1,phishing
19,1,0,0,0,0,1,phishing
39,1,0,0,0,0,1,phishing
22,2,1,0,0,1,0,safe
24,2,1,0,0,1,0,safe
31,1,0,0,0,0,1,phishing
21,3,0,1,0,2,1,phishing
29,1,0,0,1,0,1,phishing
22,2,1,0,0,1,0,safe
26,1,1,0,0,0,1,phishing
18,1,0,0,0,0,0,phishing
18,1,1,0,0,0,0,safe
19,1,0,0,0,0,1,phishing
27,2,1,0,0,1,1,safe
21,2,1,0,0,1,0,safe
22,1,1,0,0,0,0,safe
24,1,0,0,0,0,1,phishing
29,2,1,0,0,1,0,safe
18,1,0,0,0,0,1,phishing
43,1,0,0,0,0,1,phishing
22,3,0,1,0,2,1,phishing
22,2,1,0,0,1,0,safe
30,1,0,0,1,0,1,phishing
19,1,1,0,0,0,0,safe
21,1,1,0,0,0,0,safe
24,1,0,0,0,0,1,phishing
25,2,1,0,0,1,0,safe
28,1,0,0,0,0,1,phishing
13,1,0,0,0,0,0,phishing
18,1,1,0,0,0,0,safe
26,1,0,0,0,0,1,phishing
21,2,1,0,0,1,0,safe
22,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
18,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
11,1,0,0,0,0,0,phishing
21,2,1,0,0,1,0,safe
25,1,0,0,0,0,1,phishing
20,2,1,0,0,1,0,safe
33,1,1,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
17,1,1,0,0,0,0,safe
21,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
32,1,0,0,0,0,1,phishing
18,1,0,0,0,0,1,phishing
24,1,0,0,0,0,1,phishing
17,1,0,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
21,1,1,0,0,0,0,safe
29,1,0,0,1,0,1,phishing
24,2,1,0,0,1,0,safe
21,1,0,0,0,0,1,phishing
39,1,0,0,0,0,1,phishing
12,1,0,0,0,0,0,phishing
17,1,0,0,0,0,1,phishing
22,1,1,0,0,0,0,safe
23,2,1,0,0,1,0,safe
26,1,0,0,1,0,1,phishing
20,1,1,0,0,0,0,safe
37,1,0,0,0,0,1,phishing
26,1,0,0,0,0,1,phishing
22,1,1,0,0,0,0,safe
25,2,1,0,0,1,0,safe
25,2,1,0,0,1,0,safe
25,1,0,0,1,0,1,phishing
19,1,0,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
19,1,1,0,0,0,0,safe
21,1,0,0,0,0,1,phishing
23,2,1,0,0,1,0,safe
21,3,0,1,0,2,1,phishing
21,2,1,0,0,1,0,safe
21,1,1,0,0,0,0,safe
50,1,0,0,0,0,1,phishing
21,2,1,0,0,1,0,safe
23,2,1,0,0,1,0,safe
26,1,0,0,0,0,1,phishing
21,1,1,0,0,0,0,safe
20,3,0,1,0,2,1,phishing
29,1,1,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
23,2,1,0,0,1,0,safe
19,3,0,1,0,2,1,phishing
26,2,1,0,0,1,1,safe
20,1,0,0,0,0,1,phishing
28,2,1,0,0,1,1,safe
23,2,1,0,0,1,0,safe
30,1,0,0,1,0,1,phishing
24,1,0,0,0,0,1,phishing
22,1,1,0,0,0,0,safe
18,1,0,0,0,0,1,phishing
21,3,0,1,0,2,1,phishing
21,2,1,0,0,1,0,safe
34,1,0,0,0,0,1,phishing
12,1,0,0,0,0,0,phishing
22,1,0,0,0,0,1,phishing
24,1,0,0,0,0,1,phishing
45,5,0,0,0,4,1,phishing
21,2,1,0,0,1,0,safe
47,1,0,0,0,0,1,phishing
12,1,0,0,0,0,0,phishing
19,1,1,0,0,0,0,safe
25,1,1,0,0,0,0,safe
17,1,1,0,0,0,0,safe
26,1,0,0,0,0,1,phishing
34,1,0,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
16,1,1,0,0,0,0,safe
26,1,0,0,0,0,1,phishing
27,1,0,0,1,0,1,phishing
19,3,0,1,0,2,1,phishing
18,1,1,0,0,0,0,safe
24,1,0,0,0,0,1,phishing
13,1,0,0,0,0,0,phishing
20,2,1,0,0,1,0,safe
19,1,0,0,0,0,1,phishing
25,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
22,1,0,0,0,0,1,phishing
21,1,1,0,0,0,0,safe
22,2,1,0,0,1,0,safe
23,2,1,0,0,1,0,safe
13,1,0,0,0,0,0,phishing
31,1,0,0,1,0,1,phishing
24,1,0,0,0,0,1,phishing
12,1,0,0,0,0,0,phishing
16,1,0,0,0,0,1,phishing
23,2,1,0,0,1,0,safe
26,1,1,0,0,0,0,phishing
21,2,1,0,0,1,0,safe
22,2,1,0,0,1,0,safe
28,1,0,0,1,0,1,phishing
20,2,1,0,0,1,0,safe
49,5,1,0,0,4,1,phishing
44,1,0,0,0,0,1,phishing
18,1,0,0,0,0,0,phishing
24,1,0,0,0,0,1,phishing
26,1,0,0,1,0,1,phishing
23,1,0,0,0,0,1,phishing
21,3,0,1,0,2,1,phishing
17,1,1,0,0,0,0,safe
17,1,1,0,0,0,0,safe
24,1,0,0,0,0,1,phishing
24,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
23,2,1,0,0,1,0,safe
22,2,1,0,0,1,0,safe
13,1,0,0,0,0,0,phishing
51,1,0,0,0,0,1,phishing
29,2,1,0,0,1,1,safe
17,1,1,0,0,0,0,safe
19,3,0,1,0,2,1,phishing
20,1,0,0,0,0,1,phishing
28,1,0,0,0,0,1,phishing
13,1,0,0,0,0,0,phishing
21,1,1,0,0,0,0,safe
17,1,0,0,0,0,1,phishing
11,1,0,0,0,0,0,phishing
22,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
21,1,1,0,0,0,0,safe
23,1,0,0,0,0,1,phishing
18,1,0,0,0,0,0,phishing
27,1,0,0,1,0,1,phishing
21,1,1,0,0,0,0,safe
25,1,0,0,0,0,1,phishing
25,1,0,0,1,0,1,phishing
17,1,0,0,0,0,1,phishing
23,2,1,0,0,1,0,safe
24,2,1,0,0,1,0,safe
51,1,0,0,0,0,1,phishing
19,1,1,0,0,0,0,safe
38,1,0,0,0,0,1,phishing
22,2,1,0,0,1,0,safe
21,2,1,0,0,1,0,safe
20,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
22,1,1,0,0,0,0,safe
22,2,1,0,0,1,0,safe
26,1,0,0,0,0,1,phishing
21,1,1,0,0,0,0,safe
21,1,1,0,0,0,0,safe
19,1,1,0,0,0,0,safe
27,1,0,0,1,0,1,phishing
17,1,0,0,0,0,1,phishing
13,1,0,0,0,0,0,phishing
13,1,0,0,0,0,0,phishing
21,2,1,0,0,1,0,safe
28,1,0,0,1,0,1,phishing
41,4,0,0,0,3,1,phishing
18,1,1,0,0,0,0,safe
27,1,0,0,0,0,1,phishing
15,1,1,0,0,0,0,safe
34,1,1,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
22,1,0,0,0,0,1,phishing
18,1,0,0,0,0,1,phishing
29,1,1,0,0,0,0,phishing
25,2,1,0,0,1,0,safe
19,1,0,0,0,0,1,phishing
12,1,0,0,0,0,0,phishing
27,1,0,0,0,0,1,phishing
18,1,0,0,0,0,1,phishing
26,2,1,0,0,1,0,safe
28,2,1,0,0,1,0,safe
34,1,0,0,0,0,1,phishing
32,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
17,1,1,0,0,0,0,safe
42,4,0,0,0,3,1,phishing
22,2,1,0,0,1,0,safe
17,1,1,0,0,0,0,safe
27,1,0,0,0,0,1,phishing
19,3,0,1,0,2,1,phishing
26,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
21,1,1,0,0,0,0,safe
26,1,0,0,0,0,1,phishing
17,1,0,0,0,0,1,phishing
23,2,1,0,0,1,0,safe
23,1,0,0,0,0,1,phishing
17,1,0,0,0,0,1,phishing
13,1,0,0,0,0,0,phishing
12,1,0,0,0,0,0,phishing
22,2,1,0,0,1,0,safe
19,1,1,0,0,0,0,safe
16,1,0,0,0,0,1,phishing
18,1,0,0,0,0,1,phishing
23,1,0,0,0,0,1,phishing
18,1,0,0,0,0,1,phishing
19,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
19,2,1,0,0,1,0,safe
21,2,1,0,0,1,0,safe
15,1,1,0,0,0,0,safe
23,1,0,0,0,0,1,phishing
13,1,0,0,0,0,0,phishing
22,1,1,0,0,0,0,safe
13,1,0,0,0,0,0,phishing
34,2,1,0,0,1,1,phishing
24,1,0,0,0,0,1,phishing
31,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
29,2,1,0,0,1,0,safe
23,1,0,0,0,0,1,phishing
17,1,0,0,0,0,1,phishing
35,1,1,0,0,0,1,phishing
36,3,0,0,0,2,1,phishing
18,1,1,0,0,0,0,safe
21,2,1,0,0,1,0,safe
20,3,0,1,0,2,1,phishing
30,3,0,0,0,2,1,phishing
23,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
22,2,1,0,0,1,0,safe
25,1,0,0,0,0,1,phishing
25,1,0,0,1,0,1,phishing
33,1,0,0,0,0,1,phishing
21,1,1,0,0,0,0,safe
25,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
39,4,0,0,0,3,1,phishing
21,3,0,1,0,2,1,phishing
16,1,1,0,0,0,0,safe
20,3,0,1,0,2,1,phishing
23,2,1,0,0,1,0,safe
26,2,1,0,0,1,0,safe
34,1,0,0,0,0,1,phishing
27,1,0,0,0,0,1,phishing
15,1,0,0,0,0,1,phishing
18,1,0,0,0,0,1,phishing
50,5,0,0,0,4,1,phishing
25,1,0,0,0,0,1,phishing
28,1,0,0,0,0,1,phishing
22,2,1,0,0,1,0,safe
20,2,1,0,0,1,0,safe
25,1,1,0,0,0,0,safe
20,2,1,0,0,1,0,safe
19,1,0,0,0,0,1,phishing
29,2,1,0,0,1,0,safe
17,1,1,0,0,0,0,safe
28,1,0,0,1,0,1,phishing
13,1,0,0,0,0,0,phishing
18,1,1,0,0,0,0,safe
25,2,1,0,0,1,1,safe
21,3,0,1,0,2,1,phishing
18,1,0,0,0,0,1,phishing
21,2,1,0,0,1,0,safe
23,2,1,0,0,1,0,safe
17,1,1,0,0,0,0,safe
16,1,0,0,0,0,1,phishing
21,2,1,0,0,1,0,safe
21,2,1,0,0,1,0,safe
47,1,0,0,0,0,1,phishing
30,2,1,0,0,1,0,safe
28,1,0,0,0,0,1,phishing
16,1,0,0,0,0,1,phishing
33,2,1,0,0,1,1,phishing
46,1,0,0,0,0,1,phishing
20,2,1,0,0,1,0,safe
28,1,0,0,1,0,1,phishing
21,3,0,1,0,2,1,phishing
20,3,0,1,0,2,1,phishing
29,2,1,0,0,1,1,safe
27,1,0,0,0,0,1,phishing
23,2,1,0,0,1,0,safe
31,1,0,0,0,0,1,phishing
21,3,0,1,0,2,1,phishing
20,1,0,0,0,0,1,phishing
28,1,0,0,0,0,1,phishing
19,1,0,0,0,0,1,phishing
19,2,1,0,0,1,0,safe
12,1,0,0,0,0,0,phishing
18,1,1,0,0,0,0,safe
40,4,0,0,0,3,1,phishing
17,1,1,0,0,0,0,safe
13,1,0,0,0,0,0,phishing
11,1,0,0,0,0,0,phishing
22,2,1,0,0,1,0,safe
17,1,1,0,0,0,0,safe
25,2,1,0,0,1,0,safe
17,1,0,0,0,0,1,phishing
30,1,0,0,1,0,1,phishing
19,1,1,0,0,0,0,safe
20,2,1,0,0,1,0,safe
22,2,1,0,0,1,0,safe
20,1,1,0,0,0,0,safe
21,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
17,1,1,0,0,0,0,safe
48,4,0,0,0,3,1,phishing
23,2,1,0,0,1,0,safe
13,1,0,0,0,0,0,phishing
27,1,0,0,1,0,1,phishing
17,1,0,0,0,0,1,phishing
22,2,1,0,0,1,0,safe
12,1,0,0,0,0,0,phishing
31,3,0,0,0,2,1,phishing
21,2,1,0,0,1,0,safe
29,2,1,0,0,1,0,safe
28,1,0,0,1,0,1,phishing
41,1,0,0,0,0,1,phishing
18,1,0,0,0,0,0,phishing
12,1,0,0,0,0,0,phishing
25,1,1,0,0,0,0,safe
26,1,0,0,0,0,1,phishing
22,2,1,0,0,1,0,safe
20,2,1,0,0,1,0,safe
24,2,1,0,0,1,0,safe
21,1,0,0,0,0,1,phishing
44,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
24,1,0,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
21,1,1,0,0,0,0,safe
22,2,1,0,0,1,0,safe
32,1,0,0,0,0,1,phishing
13,1,0,0,0,0,0,phishing
17,1,0,0,0,0,1,phishing
24,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
47,5,0,0,0,4,1,phishing
18,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
26,1,0,0,0,0,1,phishing
20,1,1,0,0,0,0,safe
28,1,0,0,1,0,1,phishing
50,5,0,0,0,4,1,phishing
26,1,0,0,1,0,1,phishing
23,2,1,0,0,1,0,safe
39,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
16,1,1,0,0,0,0,safe
15,1,1,0,0,0,0,safe
17,3,0,1,0,2,1,phishing
20,1,1,0,0,0,0,safe
20,2,1,0,0,1,0,safe
29,2,1,0,0,1,0,safe
20,1,0,0,0,0,1,phishing
22,2,1,0,0,1,0,safe
24,1,0,0,0,0,1,phishing
17,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
17,1,1,0,0,0,0,safe
20,2,1,0,0,1,0,safe
36,1,1,0,0,0,1,phishing
25,1,0,0,1,0,1,phishing
29,2,1,0,0,1,0,safe
20,2,1,0,0,1,0,safe
23,2,1,0,0,1,0,safe
25,1,0,0,1,0,1,phishing
27,1,0,0,1,0,1,phishing
21,2,1,0,0,1,0,safe
18,1,0,0,0,0,0,phishing
32,3,0,0,0,2,1,phishing
19,1,1,0,0,0,0,safe
23,1,0,0,0,0,1,phishing
18,1,0,0,0,0,1,phishing
12,1,0,0,0,0,0,phishing
19,1,1,0,0,0,0,safe
18,1,0,0,0,0,1,phishing
12,1,0,0,0,0,0,phishing
20,3,0,1,0,2,1,phishing
18,1,1,0,0,0,0,safe
17,1,0,0,0,0,1,phishing
25,1,0,0,0,0,1,phishing
21,1,1,0,0,0,0,safe
22,2,1,0,0,1,0,safe
17,1,1,0,0,0,0,safe
37,1,0,0,0,0,1,phishing
28,1,1,0,0,0,0,phishing
42,1,0,0,0,0,1,phishing
22,1,1,0,0,0,0,safe
21,1,1,0,0,0,0,safe
24,1,0,0,0,0,1,phishing
30,2,1,0,0,1,1,safe
27,1,1,0,0,0,1,phishing
21,2,1,0,0,1,0,safe
23,1,0,0,0,0,1,phishing
17,1,1,0,0,0,0,safe
20,2,1,0,0,1,0,safe
25,1,0,0,0,0,1,phishing
31,1,0,0,1,0,1,phishing
17,1,1,0,0,0,0,safe
18,1,1,0,0,0,0,safe
22,2,1,0,0,1,0,safe
25,2,1,0,0,1,0,safe
19,1,1,0,0,0,0,safe
17,1,1,0,0,0,0,safe
21,2,1,0,0,1,0,safe
19,1,1,0,0,0,0,safe
22,2,1,0,0,1,0,safe
28,1,0,0,1,0,1,phishing
27,1,0,0,1,0,1,phishing
20,1,1,0,0,0,0,safe
18,1,0,0,0,0,0,phishing
18,1,0,0,0,0,0,phishing
21,3,0,1,0,2,1,phishing
23,2,1,0,0,1,0,safe
18,1,1,0,0,0,0,safe
26,1,0,0,0,0,1,phishing
16,1,1,0,0,0,0,safe
19,1,1,0,0,0,0,safe
21,2,1,0,0,1,0,safe
20,2,1,0,0,1,0,safe
11,1,0,0,0,0,0,phishing
18,1,1,0,0,0,0,safe
22,2,1,0,0,1,0,safe
27,1,0,0,0,0,1,phishing
18,1,0,0,0,0,1,phishing
15,1,0,0,0,0,1,phishing
18,1,1,0,0,0,0,safe
21,3,0,1,0,2,1,phishing
12,1,0,0,0,0,0,phishing
28,1,0,0,0,0,1,phishing
21,1,1,0,0,0,0,safe
48,1,0,0,0,0,1,phishing
33,1,0,0,0,0,1,phishing
19,1,1,0,0,0,0,safe
